LineId;NormalizedAngle;EntryPointX;EntryPointY;EntryAngle;ConfidenceScore;AmbiguityProb;NeedsReview;RuleApplied
0;0;8468.1487;209885.5138;180;0.9999953508377075;0.6305091977119446;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
1;0;8468.1487;206913.7138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
2;0;8468.1487;203941.9138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
3;0;8468.1487;200970.1138;180;0.9999951124191284;0.6293792128562927;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
4;0;8468.1487;197998.3138;180;0.9999949932098389;0.6290695071220398;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
5;0;8468.1487;195026.5138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
6;0;8468.1487;192054.7138;180;0.999995231628418;0.62999427318573;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
7;0;8468.1487;189082.9138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
8;0;8468.1487;186111.1138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
9;0;8468.1487;183139.3138;180;0.999995231628418;0.6300005316734314;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
10;0;8468.1487;180167.5138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
11;0;8468.1487;177195.7138;180;0.9999954700469971;0.63108891248703;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
12;0;8468.1487;174223.9138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
13;0;8468.1487;171252.1138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
14;0;8468.1487;162281.7138;180;0.9999954700469971;0.6310583353042603;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
15;0;8468.1487;159309.9138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
16;0;8468.1487;165253.5138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
17;0;8468.1487;156338.1138;180;0.9999957084655762;0.6319717168807983;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
18;0;8468.1487;153366.3138;180;0.9999955892562866;0.6313572525978088;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
19;0;8468.1487;150394.5138;180;0.9998495578765869;0.6366316080093384;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
20;0;8468.1487;147422.7138;180;0.9998512268066406;0.6367711424827576;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
21;0;8468.1487;144450.9138;180;0.9998458623886108;0.6363340616226196;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
22;0;8468.1487;141479.1138;180;0.9998557567596436;0.6371607184410095;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
23;0;8468.1487;132563.7138;180;0.9998010993003845;0.6336444020271301;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
24;0;8468.1487;129591.9138;180;0.9998557567596436;0.6371607184410095;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
25;0;8468.1487;138507.3138;180;0.999854326248169;0.6370375156402588;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
26;0;8468.1487;135535.5138;180;0.9998557567596436;0.6371607184410095;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
27;0;8468.1487;76870.2454;180;0.9998456239700317;0.5897895693778992;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
28;0;8468.1487;73898.4454;180;0.9998348951339722;0.5806339979171753;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
29;0;8468.1487;70926.6454;180;0.9998456239700317;0.5815856456756592;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
30;0;8468.1487;67954.8454;180;0.9998441934585571;0.5814469456672668;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
31;0;8468.1487;64983.0454;180;0.9998456239700317;0.5815856456756592;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
32;0;8468.1487;62011.2454;180;0.99983811378479;0.5809073448181152;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
33;0;8468.1487;53095.8454;180;0.9998282194137573;0.58009272813797;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
34;0;8468.1487;50124.0454;180;0.9998456239700317;0.5815856456756592;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
35;0;8468.1487;59039.4454;180;0.9998205304145813;0.579538106918335;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
36;0;8468.1487;56067.6454;180;0.999784529209137;0.5774155855178833;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
37;0;8468.1487;47152.2454;180;0.9998348951339722;0.5806301832199097;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
38;0;8468.1487;44180.4454;180;0.9998456239700317;0.5815856456756592;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
39;0;8468.1487;37972.9454;180;0.9998456239700317;0.5815856456756592;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
40;0;8468.1487;35001.1454;180;0.9997984766960144;0.5781923532485962;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
41;0;8468.1487;32029.3454;180;0.9998455047607422;0.5815668702125549;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
42;0;8468.1487;21981.7454;180;0.9998249411582947;0.5798497200012207;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
43;0;8468.1487;19009.9454;180;0.9998360872268677;0.5807304978370667;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
44;0;8468.1487;29057.5454;180;0.9998456239700317;0.5815856456756592;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
45;0;8468.1487;24953.5454;180;0.9998249411582947;0.5798497200012207;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
46;0;4173.1487;22361.0438;0;0.987321674823761;0.9642096161842346;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
47;0;4173.1487;25332.8438;0;0.987321674823761;0.9642096161842346;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
48;0;4173.1487;28304.6438;0;0.9878239631652832;0.9640060663223267;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
49;0;4173.1487;31276.4438;0;0.9882102012634277;0.9638423323631287;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
50;0;4173.1487;34248.2438;0;0.9865139126777649;0.964516818523407;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
51;0;4173.1487;37220.0438;0;0.9876713752746582;0.9640689492225647;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
52;0;4173.1487;46135.4438;0;0.98723965883255;0.9642419815063477;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
53;0;4173.1487;49107.2438;0;0.9876328706741333;0.9640846848487854;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
54;0;4173.1487;40191.8438;0;0.9882102012634277;0.9638423323631287;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
55;0;4173.1487;43163.6438;0;0.9869956374168396;0.9643365144729614;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
56;0;4173.1487;52079.0438;0;0.9882102012634277;0.9638423323631287;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
57;0;4173.1487;55050.8438;0;0.9856892824172974;0.9647098183631897;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
58;0;4173.1487;58022.6438;0;0.9862202405929565;0.9646228551864624;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
59;0;4173.1487;60994.4438;0;0.9882102012634277;0.9638423323631287;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
60;0;4173.1487;63966.2438;0;0.9879547357559204;0.9639512896537781;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
61;0;4173.1487;66938.0438;0;0.9882102012634277;0.9638423323631287;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
62;0;4173.1487;75853.4438;0;0.9878531694412231;0.9639939665794373;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
63;0;4173.1487;69909.8438;0;0.987239420413971;0.9642419815063477;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
64;0;4173.1487;72881.6438;0;0.9882102012634277;0.9638423323631287;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
65;0;4173.1487;164113.033;0;0.9979332685470581;0.9808157086372375;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
66;0;4173.1487;167084.833;0;0.9980560541152954;0.980880618095398;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
67;0;4173.1487;170056.633;0;0.9980560541152954;0.980880618095398;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
68;0;4173.1487;173028.433;0;0.9980560541152954;0.980880618095398;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
